OFF_BY_COMPANY,CAR_NAME ,Transmission _Type,KM_DIVEN_BY,OWNER_TYPE,FUEL_TYPE,EMI,SELLING_PRICE,DOWNPAYMENT,TOTAL_PRICE
"₹29,000 OFF",2015 Maruti Swift,Manual,"37,925 km",1st Owner,Diesel,"₹9,036/month","₹ 4,06,199.00",Zero downpayment,"₹ 4,35,199.00"
"₹25,000 OFF",2020 KIA SELTOS,Manual,"5,822 km",2nd Owner,Petrol,"₹25,499/month","₹ 11,46,299.00",Zero downpayment,"₹ 11,71,299.00"
"₹32,000 OFF",2015 Maruti S Cross,Manual,"95,369 km",1st Owner,Diesel,"₹13,376/month","₹ 6,01,299.00",Zero downpayment,"₹ 6,33,299.00"
"₹16,000 OFF",2018 Renault Kwid,Manual,"33,167 km",2nd Owner,Petrol,"₹6,371/month","₹ 2,86,399.00",Zero downpayment,"₹ 3,02,399.00"
"₹43,000 OFF",2017 Hyundai Creta,Manual,"19,885 km",1st Owner,Diesel,"₹17,847/month","₹ 8,02,299.00",Zero downpayment,"₹ 8,45,299.00"
,,,,,,,,,
"₹9,000 OFF",2019 Maruti Swift,Manual,"26,667 km",1st Owner,Petrol,"₹11,798/month","₹ 5,30,399.00",Zero downpayment,"₹ 5,39,399.00"
"₹41,000 OFF",2014 Hyundai Elite i20,Manual,"1,69,197 km",1st Owner,Diesel,"₹11,836/month","₹ 5,32,099.00",Zero downpayment,"₹ 5,73,099.00"
"₹24,000 OFF",2019 Maruti Baleno,Manual,"20,976 km",1st Owner,Petrol,"₹15,956/month","₹ 7,17,299.00",Zero downpayment,"₹ 7,41,299.00"
"₹37,000 OFF",2015 Hyundai Creta,,"33,068 km",1st Owner,Diesel,"₹15,644/month","₹ 7,03,299.00",Zero downpayment,"₹ 7,40,299.00"
"₹19,000 OFF",2020 Maruti New  Wagon-R,Manual,"8,495 km",2nd Owner,Petrol,"₹12,108/month","₹ 5,44,299.00",Zero downpayment,"₹ 5,63,299.00"
"₹5,000 OFF",2015 BMW 3 Series,Automatic,"33,958 km",2nd Owner,Diesel,"₹40,990/month","₹ 18,42,699.00",Zero downpayment,"₹ 18,47,699.00"
"₹9,000 OFF",2015 Maruti Ertiga,Manual,"65,389 km",1st Owner,Diesel,"₹13,433/month","₹ 6,03,899.00",Zero downpayment,"₹ 6,12,899.00"
"₹22,000 OFF",2016 Maruti Swift Dzire,Manual,"54,447 km",1st Owner,Diesel,"₹9,280/month","₹ 4,17,199.00",Zero downpayment,"₹ 4,39,199.00"
"₹32,000 OFF",2017 Maruti Ertiga,Manual,"1,18,264 km",1st Owner,Diesel,"₹13,509/month","₹ 6,07,299.00",Zero downpayment,"₹ 6,39,299.00"
"₹40,000 OFF",2013 Toyota Innova,Manual,"55,587 km",1st Owner,Diesel,"₹16,841/month","₹ 7,57,099.00",Zero downpayment,"₹ 7,97,099.00"
"₹50,000 OFF",2015 Hyundai Creta,Manual,"86,671 km",1st Owner,Diesel,"₹22,253/month","₹ 10,00,399.00",Zero downpayment,"₹ 10,50,399.00"
"₹50,000 OFF",2013 Toyota Innova,Manual,"83,669 km",1st Owner,Diesel,"₹14,167/month","₹ 6,36,899.00",Zero downpayment,"₹ 6,86,899.00"
"₹24,000 OFF",2014 Hyundai Elite i20,Manual,"66,741 km",1st Owner,Diesel,"₹9,590/month","₹ 4,31,099.00",Zero downpayment,"₹ 4,55,099.00"
"₹50,000 OFF",2013 Toyota Fortuner,Automatic,"74,189 km",1st Owner,Diesel,"₹27,732/month","₹ 12,46,699.00",Zero downpayment,"₹ 12,96,699.00"
